0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
5,88,99,-92,-79,-37,14,-72,57,3,-23,-22,34,13,15,36,-27,24,-45,-92,-35,25,11,-43,-14,-10,48,-5,56,18,-21,-21,43,-94,19,-33,-10,-20,65,98,9,59,14,18,-55,0,-18,45,-33,127,-18,62,52,19,-5,-29,-39,7,-81,-18,-61,-22,-34,-59,-33,4,-11,-25,-62,37,6,18,21,-106,-18,-24,8,26,-71,6,-16,-26,-52,-75,23,83,31,-6,-12,-40,40,-43,36,-34,-8,24,-62,96,48,18,13,-24,17,31,25,35,12,-27,-24,-30,33,-45,-4,120,4,4,-61,-7,-14,8,-32,-63,36,2,18,-50,10,-2
16,48,-1,28,-68,-17,4,-96,3,31,-27,4,13,7,-68,0,41,3,-4,46,11,10,-30,-14,-36,-3,15,14,-20,-1,1,-56,-11,-26,-10,-2,-4,-8,55,1,-12,36,3,-1,-2,-43,-26,-43,10,42,-32,3,-46,7,-23,30,18,21,40,8,-31,15,56,9,-7,31,-35,55,-10,65,23,-16,31,-65,-18,-85,-105,-5,3,-18,-6,22,5,2,28,-15,-1,14,-1,-39,-35,25,8,-4,-42,-39,-33,19,-5,42,-18,48,-8,68,15,-7,44,-26,25,-13,3,57,-22,26,-43,-47,-60,30,-34,4,-58,-22,10,-30,-7,5,-4,17
14,14,-21,4,6,42,8,-13,-19,-9,-32,6,22,-42,-59,17,-15,10,8,3,-25,30,-15,-13,0,18,39,38,-6,34,21,-16,-19,-33,29,19,-6,18,6,23,-34,86,17,56,-9,18,9,-36,-7,26,-31,47,-35,-17,-13,32,-28,23,50,-9,-58,9,61,-21,-63,47,-40,2,30,112,17,-14,-27,-39,-29,3,-46,-3,35,-18,34,-36,-22,58,19,18,-42,-8,1,42,-53,-11,-10,22,18,-73,-13,-31,-15,4,-2,-15,29,-10,-74,5,-6,-56,8,-8,30,33,6,42,-30,-42,14,20,30,40,-18,5,-49,-38,-15,9,-37,21
20,18,32,50,-57,50,29,-50,-15,31,36,-23,34,-37,-74,-28,-17,18,35,-39,-29,1,-27,12,-23,9,44,-81,-19,9,21,37,-3,-46,10,35,-17,9,27,-52,22,-19,-38,28,19,19,9,15,27,-35,-3,17,1,-25,12,23,31,-41,-46,-4,14,5,-6,68,-11,-7,-25,-5,50,43,4,108,7,-39,-15,41,-53,0,-52,-85,39,-50,-33,11,-106,-5,-45,19,-3,0,-29,8,43,17,8,-34,-15,-18,77,-26,-27,50,-4,73,-17,14,2,-23,16,9,18,39,-60,20,-12,47,-7,2,0,23,26,-30,-56,-43,34,-31,16,23
-2,63,72,56,24,15,30,-78,-27,18,25,-4,-11,-71,-127,65,42,32,23,-45,12,-32,-28,20,-20,4,27,-35,15,19,22,37,44,-13,11,-9,-5,5,19,-28,25,-46,-13,-34,-10,10,18,-21,26,-31,-1,-30,20,28,23,-7,97,-64,16,-9,-54,21,-20,62,25,-30,-5,39,26,-5,31,-24,-18,17,42,-10,17,-10,-78,-23,12,24,-54,-44,-99,-14,-27,44,-9,-3,-46,2,-17,-26,26,-26,-11,9,122,-50,3,38,7,64,22,57,-87,27,9,11,-6,8,-83,23,51,82,-15,27,-47,-34,1,-53,-27,18,51,39,47,-14
14,42,46,44,41,-18,-20,-93,-40,-14,-39,-11,-2,-19,-49,16,-2,27,8,34,8,35,-28,-5,43,-54,-32,-28,-18,-8,23,26,2,43,18,-35,13,-8,71,-110,8,9,21,-36,15,-19,48,-51,-18,-57,-50,-46,5,47,-25,-16,38,47,73,8,-15,-7,9,26,63,15,-85,-47,-12,-24,-55,-50,-74,28,58,-22,-57,30,-17,8,-11,-29,-43,-19,-36,46,67,-8,-44,30,39,17,11,-36,24,27,-7,68,51,-5,81,-52,-19,-8,-8,3,-12,8,55,-9,-14,-22,-28,-4,4,44,36,19,17,17,-47,2,-26,-25,5,1,11,40
-74,-4,30,10,-21,11,16,71,-20,44,21,48,-10,15,43,38,-5,5,28,15,27,71,-1,15,19,-87,-6,-64,4,57,33,48,1,-2,2,7,21,-68,17,11,-1,-45,-21,12,4,-37,-6,17,-4,-21,-1,-38,-15,5,40,-12,-28,-18,21,-11,46,25,13,33,20,17,-25,-8,21,-1,-29,-46,26,28,74,-65,9,23,-13,-24,-28,89,9,54,1,-2,-29,-35,-14,51,-21,-16,-30,-6,-16,-37,40,23,-27,-11,-34,26,-39,-10,-10,34,38,29,30,70,-11,-8,49,-42,-40,-15,19,16,4,-17,10,32,26,11,17,-40,7,19
-2,-39,-26,21,20,-3,-38,25,-33,-16,-40,0,-16,3,-19,10,-6,30,-5,28,4,-9,23,34,51,-116,-33,-22,25,52,3,-27,1,-21,3,7,-3,-47,44,16,24,-34,20,11,12,10,-22,5,-43,-22,4,-11,36,-23,-2,-2,-5,-23,20,-2,14,-1,79,-9,7,34,-34,-38,21,9,50,-14,14,34,15,-3,80,-73,30,-60,8,12,-37,5,24,59,-37,9,-19,38,-13,17,11,3,36,-50,76,9,12,-18,-8,-15,-31,-16,9,-27,63,34,0,73,36,37,-5,-31,10,-16,7,20,-23,-10,-34,30,60,-21,9,-29,-47,23
-9,80,-4,116,70,8,-1,3,3,-44,34,28,-3,-37,-3,41,-1,9,2,-2,6,100,24,26,-14,-44,-39,67,-49,-18,82,5,-55,75,-26,48,-14,-14,-24,-46,2,-34,-80,-6,27,-1,-70,27,36,-40,34,47,-13,-59,-93,-12,44,-6,54,-8,38,-16,22,-12,55,-36,88,21,28,-14,26,-15,-25,93,-21,20,40,-58,-67,-12,-5,40,-27,33,21,8,-80,-11,19,9,-11,1,-38,24,-23,44,-18,-56,-10,59,-21,4,-25,-26,34,-22,4,-27,-7,13,-9,34,17,-11,-50,-40,-23,-12,-83,0,-16,29,9,-11,-44,12,16,-5
18,60,-23,7,-4,-24,-10,10,6,-9,43,79,-20,-22,3,12,4,-5,28,-49,48,9,22,-2,-53,-56,-114,38,-45,27,-19,20,-11,49,7,-38,7,-10,-22,105,-23,-62,-24,16,38,-22,-5,54,-23,3,31,-66,-13,22,-52,-39,-14,16,-36,-10,9,-42,-65,-46,13,13,39,-21,7,-33,50,-23,37,68,-7,-30,51,-41,-10,-1,-1,16,-25,-18,-2,26,10,31,30,6,15,-2,-85,-26,-15,40,-72,-17,-51,13,-22,-23,-27,-24,64,43,-4,34,-23,16,17,-65,20,1,-37,-48,4,-49,-46,-28,-3,-7,39,-1,-46,-52,56,-3
