797,-1298,2837,1868,2091,1363,4863,3948,-4141,-3209,-10143,-2021,-11793,-6865,-10809,1433,-1385,4011,-1451,-7333,-4372,-3939,-3325,629,3278,-3046,6735,2315,8634,-1138,7027,-3996,4796,625,924,1894,-2346,-3121,7575,2555,11857,-2942,-5543,-6765,3701,688,3967,-3987,4947,-1220,
-3370,-2334,3910,-1723,2024,-4975,5672,5952,6093,-3314,-1901,-7095,-529,-1557,9240,2747,-7487,-6895,1710,-5994,-7460,-1327,-1349,-8267,-1329,-8748,2537,1748,-96,10614,-5263,2698,-7875,-6899,6595,5956,-8,1874,2673,-10149,-304,-134,8988,504,6674,1462,392,11610,-4965,-1855,
-4599,-4054,2310,-2934,2120,-3852,1816,5651,-5872,-4879,3527,-878,93,-475,7526,5818,-4694,-1201,2954,-2286,-4173,4032,-734,-4828,-1286,-4029,-208,-169,1955,5377,-1797,3638,-2351,-5218,1732,1386,4162,-1206,-234,-2762,4093,-1705,4167,-3298,2376,1888,3175,6198,3103,58,
6407,1369,-6940,457,7625,-5543,1128,-2698,3245,-598,-3957,-1555,-2221,-1188,-2490,-8515,-2637,-747,1469,-1825,-5065,-8866,9,2728,-1390,3922,-479,-405,-1471,-2258,2383,-6316,4625,-4318,-474,177,-2713,1924,-2257,927,-194,2790,-8312,-1261,226,550,-4486,-5404,-1968,1490,
-4194,-761,4512,-4231,-673,-816,-3620,-1415,-4636,5291,973,-2713,503,-71,-529,4025,-2827,4879,2168,1596,-2265,393,-1729,2347,7496,2638,-1740,1183,2368,5565,-1950,-2074,1930,2678,-1142,-4,447,-587,355,714,651,-2822,-1212,1545,-4604,1482,5324,1316,2841,1204,
-79,9325,-348,-718,-3835,3412,-10342,-3014,2624,2812,1116,10817,7119,-121,3644,-755,12917,-4879,-1699,-1295,3842,5228,-4788,2657,-6963,5483,-4987,1658,-7490,-460,-3656,3990,-3132,1676,300,-3107,74,6407,-1620,-256,-6123,7254,2823,4336,-12056,-2875,2556,120,-5663,999,
-605,-2175,4452,-1219,-6520,3374,10667,3741,-7143,-7837,3142,-8429,-6113,-2182,8451,3015,-3858,-6791,-4046,711,1357,4600,4015,-1732,4674,-13254,6106,-1930,3935,1993,-6835,9570,-8071,-4005,-2724,-7052,1099,4266,597,-6305,8290,-10755,12542,-6954,10865,-1196,-9295,4843,-347,-2014,
799,-12108,-3765,1298,7572,-8269,2335,3689,-8467,-3598,-1757,-3913,-7381,553,-601,-3926,-11544,-2204,3958,-7641,-7654,2291,10328,3922,2990,-3025,6130,-5906,263,2767,2689,-10567,-1106,-348,1353,12561,-2817,-4175,2259,-4169,4103,5968,-5427,-6478,5058,-2596,1133,3092,3699,-713,
-1071,5054,-5827,-899,2860,-211,-447,-2227,2213,2040,436,4246,1883,2896,1414,-3482,6014,-3617,1418,1040,3455,1215,928,2209,-5164,1284,-4595,-822,-3796,249,-208,-1943,-404,-1687,-1190,-3526,-1119,-2630,-8607,1971,-6166,4079,-3934,1616,-1490,-1176,-728,722,-1403,1318,
-1840,-2670,6503,-507,-5737,-519,-7946,2059,643,3919,10473,-1983,4199,6673,1240,6307,-6369,9991,1078,3624,-4316,-7695,-446,-10911,2952,5312,1467,-1213,5483,5452,-3737,5822,1077,-1216,3933,-566,8946,1234,4251,-453,-2232,-1850,7565,3973,-9491,9364,8181,4274,-995,2898,
-119,10575,2673,-18730,-5434,-3901,-5011,-5366,-2240,1306,1352,-5548,959,6158,2021,13073,5442,3346,-305,13249,-6743,-3994,-21394,292,5188,7343,-15542,16647,4437,7322,-23161,14109,-4783,-2792,2928,-15509,5471,1702,-16098,3534,-14954,-7717,5832,-1751,-6796,5204,6281,-1386,-1751,2578,
2211,-7233,-1904,8176,-766,1084,-598,800,-413,-2260,4567,-4130,-1077,3120,222,-1633,-7665,1227,-800,-4312,-2462,-3716,8345,-2799,1215,-122,9077,-3898,-1356,1097,4260,-1495,-832,-2181,1844,7011,5233,1503,10396,-1731,3843,916,735,-2305,-757,2911,-273,-415,-2917,2029,
-3479,-502,845,3635,-3921,9902,-738,-2402,3219,3409,993,3393,6005,-275,3815,-1585,6171,-2592,-4397,6065,13129,5787,10186,1053,-1400,-2714,2161,-7610,-7956,-1142,6561,4550,-983,5854,-6814,-273,-1461,3176,-6759,-501,-1156,2151,-82,4877,-25,-2458,-1413,2377,-1431,-1196,
-5914,3790,4106,4507,-342,-5076,-5544,1928,-10948,-1485,339,8263,1984,-3164,8719,-4660,-2376,-7410,5790,-10302,-8317,10532,1087,3740,-6607,873,2836,-386,-5307,8547,-4870,-9307,-5429,-625,7489,8073,-1042,2651,11060,-4881,531,10272,6832,-2686,-8400,-2362,11776,8182,4397,3392,
-3916,4320,-1156,-4191,7813,-485,3233,-988,-1461,5127,-3047,-1950,-698,-2221,1336,1147,-1977,3797,-2583,3435,4265,3570,4211,506,7966,-7050,1324,-195,-2884,3736,6248,-2180,10043,3454,-6871,-4439,-4666,-55,-11801,-3605,1784,-1961,-7610,5190,2112,-170,-1621,1777,5175,-583,
-4007,-971,4643,-4107,-4903,2063,1243,-1041,-5789,2871,-337,-5198,-764,190,-530,5059,-3447,4601,-983,2026,-639,-679,-1994,1961,8789,-540,-952,1951,4576,6040,-2385,326,486,4326,-1591,-3172,51,-114,-3972,-1138,2409,-5463,1951,-96,1067,2257,1846,2412,3990,722,
3184,-2484,-3423,2101,-824,1694,3951,2025,-28,-2955,-1727,273,-2106,-2666,-1002,-1358,347,-2866,-2330,-3126,2456,686,3175,1902,-511,-780,3842,-4004,711,-1667,355,461,-966,329,-2845,554,-2533,-1026,635,2325,2779,-2411,-1779,-1930,4645,-3518,-5081,-2676,-581,-3007,
4164,150,-5714,3612,-799,665,6127,-2665,-6665,-4887,-6641,-3116,-5298,-2008,-1472,-6519,2018,-12105,-5742,-1957,4224,5177,8467,10505,2283,-5613,4911,-3314,-5094,-1795,-835,-1232,-4974,2803,-8388,-1933,-5448,1173,-4801,1406,2071,551,-953,-6186,7908,-8370,-8492,-5986,-275,-2327,
-869,-81,4233,-6592,-2729,3021,6362,4775,-8181,-3724,-180,-7552,-1104,-3300,541,11193,-816,3809,-2830,5268,1759,-3086,-8753,-3691,9724,-6261,-2142,5707,7293,65,-3933,7223,3287,-916,-2876,-9438,1393,-813,-4088,1380,8344,-7688,285,-3917,6852,2593,-1359,52,2787,-1051,
918,-3949,536,-1231,5504,452,-1003,2544,472,-1092,4304,554,-665,1560,-1791,1084,-1719,5081,62,132,-732,-4390,2032,-4601,-272,-1138,1579,-739,4250,-2303,3906,2807,5318,3428,-826,-978,2850,-512,-57,-1701,2089,-22,-4035,457,-1529,2586,1102,17,383,-1229,
3567,-3531,-5795,2131,1780,822,1414,2947,-3669,-6131,103,1960,-4328,6400,-6323,-4272,-3619,57,3827,-333,1159,-1847,2861,274,-1767,903,-3637,-2322,2123,-6909,1508,-689,3662,707,4170,4065,-760,-5335,2332,4730,-151,-457,-7043,-6416,764,-1107,-2114,-2897,5856,-2316,
1872,-6513,-5981,-3961,48,-7427,-10554,-6597,-2419,7394,14009,-11998,1458,15587,279,-5443,-16890,12872,5869,10257,-7292,-9873,5282,-1566,14195,9380,-4237,-1403,6806,6681,-8288,3944,1397,6102,-2657,1548,5617,2284,-3874,4076,-15820,-2084,-1289,1139,-10019,5403,4646,-4374,3726,6188,
-780,17,4469,6474,-3592,11563,-2529,-117,6022,974,9,7933,5722,-6593,-808,3337,11660,53,-10681,-2844,11575,952,3563,-4223,-4399,-2769,5411,-3629,-5587,-5032,8593,9307,883,607,-2853,-2708,1654,6511,888,-2545,5390,3128,2710,2800,-3056,415,-1315,-593,-8324,-4236,
3375,3379,-1153,-2762,32,-5296,386,3833,-5660,-8961,-3766,4365,-4094,-83,-3810,3508,3371,-4698,4364,-1841,-6340,-1207,-8832,-3419,-6221,2455,-3715,3512,4101,-5384,-6600,1556,-1117,-2299,5014,-1416,-1933,-3932,948,2453,-157,784,77,-5128,1722,-656,734,-1662,6041,641,
-2497,4711,3700,-3467,1889,-145,-1449,2710,-4702,4299,-3801,647,-4844,-4204,-5969,243,-1435,5329,5114,-3949,-3542,733,-6076,2329,4720,-341,1792,2064,3334,4372,3104,-7478,6952,4961,2089,3589,-2005,862,5462,1976,5361,3266,-5033,-1892,-2427,1341,4453,1047,6410,1571,
1000,-1527,6817,-6655,-3410,2101,-22,6915,-6878,-8297,-6197,-748,-3055,-6728,-2167,15301,2197,6609,690,2585,-6910,-6342,-6524,-5050,2931,1352,-1507,3869,12716,-3768,-6654,7776,4985,-498,3433,-4543,2272,-962,1083,4429,8275,-7224,2026,-6881,68,3991,5177,-2903,4140,-609,
-5000,-149,3161,-8203,3573,-354,3269,2545,-4179,1087,-4716,558,-510,-4054,2573,4207,794,428,1676,-543,1868,6419,794,1603,4133,-5168,-800,-1917,-354,4807,3379,-2222,4301,2765,-4192,1856,-3427,-1634,-3048,-2072,4398,316,-2854,444,3865,-1305,2866,2991,5279,716,
